ID,Actin,CD107a,CD11c,CD20,CD21,CD31,CD3e,CD4,CD45,CD45RO,CD68,CD8,DAPI_2,E_CAD,Histone_H3,Ki67,Pan_CK,Podoplanin
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
2,0.0,24.0,72.0,10.0,52.0,0.0,86.0,76.0,56.0,87.0,75.0,68.0,29.0,64.0,64.0,95.0,0.0,100.0
3,0.0,49.0,64.0,0.0,51.0,0.0,64.0,72.0,71.0,76.0,67.0,79.0,1.0,74.0,48.0,60.0,0.0,77.0
4,0.0,18.0,1.0,0.0,5.0,0.0,3.0,0.0,5.0,9.0,2.0,10.0,28.0,3.0,8.0,6.0,0.0,10.0
5,0.0,6.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,10.0,3.0,8.0,24.0,2.0,3.0,10.0,0.0,6.0
6,0.0,10.0,9.0,311.0,45.0,0.0,9.0,5.0,30.0,8.0,5.0,10.0,18.0,25.0,11.0,12.0,0.0,11.0
7,0.0,62.0,40.0,0.0,12.0,0.0,142.0,26.0,69.0,41.0,22.0,33.0,52.0,25.0,30.0,38.0,0.0,40.0
8,0.0,10.0,6.0,2109.0,37.0,0.0,10.0,4.0,13.0,5.0,9.0,6.0,38.0,24.0,10.0,5.0,0.0,7.0
9,0.0,5.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,3.0,0.0,36.0,2.0,7.0,0.0,0.0,0.0
10,0.0,20.0,2.0,1030.0,33.0,0.0,2.0,1.0,7.0,4.0,6.0,0.0,10.0,31.0,8.0,5.0,0.0,6.0
11,0.0,14.0,8.0,0.0,7.0,0.0,5.0,10.0,9.0,9.0,8.0,6.0,28.0,16.0,7.0,0.0,0.0,4.0
12,0.0,98.0,81.0,0.0,10.0,0.0,5.0,13.0,55.0,3.0,20.0,2.0,21.0,2.0,7.0,6.0,0.0,5.0
13,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0
14,0.0,39.0,23.0,0.0,11.0,0.0,16.0,28.0,15.0,23.0,29.0,23.0,31.0,51.0,20.0,14.0,0.0,28.0
15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,1.0,35.0,0.0,4.0,2.0,0.0,2.0
16,0.0,37.0,57.0,2.0,51.0,0.0,64.0,58.0,75.0,92.0,53.0,110.0,31.0,63.0,58.0,91.0,0.0,87.0
17,0.0,63.0,29.0,0.0,33.0,0.0,38.0,32.0,22.0,65.0,35.0,92.0,52.0,41.0,34.0,69.0,0.0,69.0
18,0.0,57.0,172.0,0.0,105.0,0.0,174.0,181.0,145.0,169.0,162.0,153.0,16.0,119.0,138.0,196.0,0.0,186.0
