ID,x,y
1,13.0,819.0
2,11.0,78.0
3,11.0,1175.0
4,14.0,900.0
5,14.0,333.0
6,22.0,719.0
7,24.0,235.0
8,24.0,279.0
9,22.0,986.0
10,18.0,472.0
11,17.0,768.0
12,23.0,433.0
13,18.0,1132.0
14,22.0,1237.0
15,21.0,521.0
16,24.0,934.0
17,27.0,73.0
18,28.0,113.0
19,26.0,24.0
20,20.0,786.0
21,23.0,969.0
22,28.0,1189.0
23,28.0,1286.0
24,30.0,883.0
25,31.0,318.0
26,26.0,568.0
27,26.0,736.0
28,25.0,859.0
29,31.0,1095.0
30,34.0,1165.0
31,28.0,210.0
32,25.0,629.0
33,27.0,364.0
34,28.0,393.0
35,28.0,605.0
36,29.0,649.0
37,28.0,801.0
38,29.0,825.0
39,33.0,1045.0
40,37.0,552.0
41,34.0,467.0
42,32.0,1020.0
43,34.0,184.0
44,36.0,376.0
45,34.0,258.0
46,33.0,1126.0
47,44.0,456.0
48,36.0,680.0
49,38.0,777.0
50,40.0,342.0
51,35.0,697.0
52,39.0,756.0
53,35.0,909.0
54,42.0,97.0
55,40.0,956.0
56,39.0,438.0
57,38.0,511.0
58,41.0,581.0
59,40.0,732.0
60,34.0,1071.0
61,41.0,1203.0
62,38.0,628.0
63,38.0,975.0
64,39.0,994.0
65,43.0,1233.0
66,41.0,597.0
67,44.0,849.0
68,49.0,206.0
69,44.0,303.0
70,47.0,536.0
71,45.0,44.0
72,42.0,125.0
73,41.0,406.0
74,44.0,938.0
75,45.0,1026.0
76,47.0,649.0
77,48.0,1261.0
78,43.0,421.0
79,46.0,1121.0
80,46.0,282.0
81,47.0,490.0
82,45.0,1006.0
83,49.0,1315.0
84,50.0,613.0
85,52.0,1214.0
86,48.0,146.0
87,52.0,230.0
88,52.0,921.0
89,54.0,631.0
90,55.0,973.0
91,53.0,1081.0
92,52.0,258.0
93,53.0,356.0
94,50.0,377.0
95,54.0,788.0
96,53.0,1150.0
97,51.0,672.0
98,53.0,826.0
99,52.0,887.0
100,52.0,1296.0
101,57.0,517.0
102,60.0,184.0
103,60.0,442.0
104,57.0,595.0
105,61.0,58.0
106,60.0,765.0
107,55.0,1183.0
108,58.0,422.0
109,63.0,1000.0
110,58.0,733.0
111,58.0,841.0
112,57.0,1108.0
113,60.0,566.0
114,62.0,748.0
115,65.0,483.0
116,61.0,900.0
117,69.0,913.0
118,62.0,1055.0
119,68.0,294.0
120,64.0,408.0
121,63.0,715.0
122,67.0,249.0
123,63.0,383.0
124,64.0,940.0
125,67.0,1025.0
126,68.0,1216.0
127,68.0,1136.0
128,68.0,1240.0
129,65.0,272.0
130,68.0,808.0
131,66.0,845.0
132,69.0,1122.0
133,71.0,579.0
134,71.0,677.0
135,72.0,883.0
136,68.0,1164.0
137,73.0,550.0
138,73.0,1076.0
139,74.0,1186.0
140,72.0,1291.0
141,74.0,1103.0
142,68.0,20.0
143,78.0,530.0
144,71.0,611.0
145,71.0,1262.0
146,73.0,116.0
147,76.0,366.0
148,75.0,627.0
149,68.0,339.0
150,75.0,977.0
151,75.0,952.0
152,72.0,453.0
153,75.0,646.0
154,70.0,72.0
155,77.0,505.0
156,78.0,432.0
157,76.0,469.0
158,74.0,786.0
159,78.0,758.0
160,85.0,87.0
161,81.0,389.0
162,83.0,183.0
163,81.0,842.0
164,82.0,1048.0
165,78.0,1322.0
166,85.0,51.0
167,88.0,349.0
168,84.0,780.0
169,81.0,821.0
170,81.0,305.0
171,82.0,28.0
172,84.0,260.0
173,85.0,734.0
174,86.0,1005.0
175,87.0,69.0
176,86.0,802.0
177,88.0,209.0
178,83.0,702.0
179,91.0,1235.0
180,89.0,278.0
181,91.0,597.0
182,86.0,1133.0
183,92.0,1255.0
184,93.0,455.0
185,93.0,485.0
186,89.0,1291.0
187,89.0,919.0
188,92.0,943.0
189,89.0,1177.0
190,92.0,243.0
191,99.0,567.0
192,92.0,658.0
193,93.0,970.0
194,96.0,1027.0
195,90.0,1159.0
196,96.0,1273.0
197,89.0,679.0
198,92.0,759.0
199,92.0,325.0
200,101.0,1089.0
201,90.0,1096.0
202,98.0,774.0
203,105.0,119.0
204,95.0,423.0
205,101.0,817.0
206,103.0,307.0
207,99.0,1118.0
208,98.0,377.0
209,93.0,1215.0
210,103.0,676.0
211,102.0,837.0
212,102.0,1065.0
213,100.0,520.0
214,99.0,18.0
215,100.0,635.0
216,101.0,1142.0
217,100.0,1193.0
218,101.0,398.0
219,103.0,40.0
220,105.0,544.0
221,101.0,793.0
222,102.0,1301.0
223,109.0,97.0
224,104.0,700.0
225,109.0,218.0
226,109.0,288.0
227,105.0,889.0
228,105.0,759.0
229,113.0,268.0
230,110.0,472.0
231,107.0,719.0
232,112.0,856.0
233,112.0,994.0
234,114.0,1220.0
235,110.0,141.0
236,112.0,174.0
237,108.0,250.0
238,111.0,438.0
239,111.0,1034.0
240,111.0,1172.0
241,109.0,948.0
242,113.0,1050.0
243,115.0,415.0
244,111.0,615.0
245,113.0,741.0
246,114.0,973.0
247,116.0,341.0
248,118.0,368.0
249,118.0,496.0
250,118.0,789.0
251,116.0,810.0
252,118.0,877.0
253,117.0,1148.0
254,120.0,387.0
255,122.0,663.0
256,116.0,962.0
257,121.0,1303.0
258,122.0,30.0
259,120.0,56.0
260,122.0,193.0
261,121.0,518.0
262,121.0,643.0
263,118.0,243.0
264,120.0,704.0
265,120.0,1084.0
266,126.0,1203.0
267,124.0,681.0
268,121.0,828.0
269,121.0,944.0
270,128.0,401.0
271,125.0,468.0
272,125.0,1117.0
273,127.0,224.0
274,120.0,912.0
275,128.0,1020.0
276,128.0,103.0
277,132.0,313.0
278,126.0,579.0
279,125.0,153.0
280,132.0,286.0
281,124.0,602.0
282,129.0,249.0
283,132.0,943.0
284,127.0,1242.0
285,132.0,713.0
286,128.0,1069.0
287,133.0,1099.0
288,131.0,1165.0
289,131.0,1317.0
290,129.0,429.0
291,128.0,621.0
292,131.0,755.0
293,132.0,824.0
294,133.0,1187.0
295,128.0,542.0
296,134.0,908.0
297,134.0,971.0
298,133.0,852.0
299,135.0,1128.0
300,133.0,1146.0
301,136.0,1286.0
302,134.0,506.0
303,136.0,731.0
304,134.0,809.0
305,132.0,776.0
306,140.0,877.0
307,138.0,22.0
308,140.0,140.0
309,135.0,444.0
310,140.0,639.0
311,139.0,1046.0
312,139.0,615.0
313,142.0,560.0
314,146.0,1222.0
315,137.0,208.0
316,139.0,346.0
317,143.0,411.0
318,142.0,1080.0
319,144.0,248.0
320,144.0,478.0
321,144.0,530.0
322,145.0,758.0
323,143.0,98.0
324,144.0,164.0
325,140.0,183.0
326,144.0,831.0
327,143.0,1172.0
328,145.0,495.0
329,148.0,797.0
330,143.0,460.0
331,139.0,1259.0
332,143.0,688.0
333,147.0,984.0
334,149.0,1025.0
335,149.0,292.0
336,150.0,586.0
337,151.0,605.0
338,149.0,939.0
339,151.0,427.0
340,154.0,846.0
341,154.0,908.0
342,155.0,1155.0
343,147.0,67.0
344,153.0,1130.0
345,152.0,1183.0
346,152.0,271.0
347,148.0,330.0
348,156.0,21.0
349,151.0,510.0
350,150.0,658.0
351,151.0,1202.0
352,153.0,1244.0
353,154.0,733.0
354,154.0,221.0
355,153.0,317.0
356,157.0,770.0
357,155.0,449.0
358,152.0,1003.0
359,152.0,364.0
360,159.0,202.0
361,160.0,679.0
362,155.0,1063.0
363,159.0,1268.0
364,162.0,309.0
365,162.0,344.0
366,156.0,402.0
367,159.0,557.0
368,160.0,1093.0
369,162.0,637.0
370,157.0,126.0
371,166.0,614.0
372,162.0,821.0
373,165.0,1203.0
374,166.0,181.0
375,167.0,247.0
376,162.0,515.0
377,162.0,705.0
378,165.0,862.0
379,163.0,67.0
380,161.0,102.0
381,169.0,159.0
382,166.0,285.0
383,168.0,395.0
384,172.0,435.0
385,171.0,15.0
386,171.0,883.0
387,168.0,1176.0
388,165.0,1291.0
389,170.0,1015.0
390,171.0,1074.0
391,175.0,138.0
392,169.0,359.0
393,169.0,538.0
394,172.0,655.0
395,172.0,1043.0
396,171.0,1247.0
397,167.0,968.0
398,173.0,378.0
399,174.0,1136.0
400,179.0,264.0
401,176.0,720.0
402,175.0,1272.0
403,178.0,100.0
404,177.0,557.0
405,177.0,764.0
406,174.0,329.0
407,182.0,516.0
408,177.0,1307.0
409,182.0,202.0
410,183.0,305.0
411,175.0,683.0
412,183.0,697.0
413,180.0,54.0
414,179.0,590.0
415,179.0,819.0
416,179.0,942.0
417,180.0,1116.0
418,182.0,285.0
419,180.0,903.0
420,186.0,1089.0
421,187.0,1170.0
422,186.0,1202.0
423,184.0,71.0
424,187.0,355.0
425,190.0,1283.0
426,186.0,1060.0
427,186.0,680.0
428,186.0,993.0
429,195.0,377.0
430,188.0,467.0
431,188.0,1254.0
432,191.0,1316.0
433,188.0,922.0
434,190.0,165.0
435,188.0,1022.0
436,190.0,449.0
437,194.0,735.0
438,192.0,1230.0
439,190.0,332.0
440,194.0,401.0
441,194.0,537.0
442,196.0,606.0
443,193.0,893.0
444,191.0,965.0
445,193.0,43.0
446,191.0,118.0
447,194.0,423.0
448,192.0,498.0
449,190.0,573.0
450,191.0,1139.0
451,195.0,283.0
452,195.0,482.0
453,198.0,712.0
454,197.0,267.0
455,194.0,655.0
456,200.0,1044.0
457,194.0,1114.0
458,196.0,1149.0
459,200.0,875.0
460,202.0,945.0
461,199.0,249.0
462,200.0,795.0
463,205.0,978.0
464,207.0,1194.0
465,205.0,551.0
466,204.0,350.0
467,207.0,579.0
468,208.0,692.0
469,197.0,852.0
470,205.0,1075.0
471,206.0,1099.0
472,202.0,833.0
473,205.0,331.0
474,205.0,902.0
475,205.0,1121.0
476,206.0,1256.0
477,209.0,169.0
478,206.0,1004.0
479,203.0,1297.0
480,207.0,118.0
481,206.0,440.0
482,207.0,516.0
483,210.0,19.0
484,214.0,290.0
485,209.0,1025.0
486,214.0,1166.0
487,210.0,1220.0
488,210.0,646.0
489,209.0,817.0
490,211.0,1313.0
491,208.0,320.0
492,211.0,854.0
493,211.0,1055.0
494,211.0,1130.0
495,208.0,204.0
496,210.0,227.0
497,210.0,455.0
498,212.0,482.0
499,216.0,43.0
500,216.0,623.0
501,217.0,722.0
502,214.0,75.0
503,218.0,137.0
504,217.0,186.0
505,216.0,464.0
506,212.0,919.0
507,216.0,425.0
508,218.0,667.0
509,216.0,772.0
510,222.0,97.0
511,219.0,497.0
512,220.0,989.0
513,217.0,1140.0
514,221.0,1275.0
515,220.0,394.0
516,221.0,930.0
517,224.0,1293.0
518,219.0,946.0
519,223.0,342.0
520,226.0,551.0
521,223.0,1100.0
522,222.0,210.0
523,220.0,244.0
524,223.0,260.0
525,219.0,880.0
526,224.0,1072.0
527,228.0,1210.0
528,226.0,796.0
529,221.0,901.0
530,223.0,1027.0
531,227.0,863.0
532,221.0,310.0
533,231.0,1008.0
534,236.0,1118.0
535,231.0,1238.0
536,224.0,1256.0
537,227.0,525.0
538,227.0,576.0
539,229.0,693.0
540,227.0,819.0
541,228.0,884.0
542,233.0,59.0
543,229.0,324.0
544,233.0,474.0
545,227.0,597.0
546,231.0,753.0
547,229.0,358.0
548,234.0,420.0
549,227.0,837.0
550,231.0,649.0
551,235.0,893.0
552,236.0,1187.0
553,231.0,449.0
554,234.0,306.0
555,233.0,1136.0
556,230.0,230.0
557,234.0,501.0
558,232.0,731.0
559,232.0,1152.0
560,231.0,172.0
561,238.0,778.0
562,234.0,212.0
563,240.0,624.0
564,233.0,948.0
565,236.0,985.0
566,236.0,1042.0
567,238.0,387.0
568,238.0,914.0
569,239.0,966.0
570,245.0,32.0
571,242.0,564.0
572,243.0,670.0
573,241.0,280.0
574,239.0,195.0
575,242.0,247.0
576,244.0,851.0
577,243.0,1064.0
578,240.0,113.0
579,243.0,807.0
580,243.0,340.0
581,246.0,692.0
582,241.0,713.0
583,249.0,731.0
584,246.0,1165.0
585,245.0,84.0
586,250.0,144.0
587,247.0,644.0
588,248.0,832.0
589,248.0,169.0
590,249.0,513.0
591,249.0,610.0
592,244.0,1094.0
593,251.0,223.0
594,247.0,592.0
595,248.0,372.0
596,251.0,402.0
597,250.0,1264.0
598,247.0,1284.0
599,249.0,315.0
600,254.0,329.0
601,253.0,442.0
602,254.0,540.0
603,249.0,744.0
604,251.0,873.0
605,253.0,1300.0
606,253.0,256.0
607,255.0,772.0
608,252.0,940.0
609,251.0,993.0
610,252.0,1239.0
611,255.0,1146.0
612,257.0,1216.0
613,253.0,304.0
614,258.0,460.0
615,259.0,712.0
616,255.0,422.0
617,258.0,566.0
618,260.0,816.0
619,259.0,662.0
620,260.0,968.0
621,261.0,60.0
622,263.0,346.0
623,261.0,917.0
624,260.0,1197.0
625,269.0,196.0
626,262.0,684.0
627,268.0,896.0
628,266.0,794.0
629,261.0,1128.0
630,263.0,1167.0
631,267.0,581.0
632,264.0,747.0
633,261.0,119.0
634,265.0,500.0
635,265.0,604.0
636,266.0,854.0
637,267.0,1101.0
638,268.0,1313.0
639,270.0,292.0
640,267.0,646.0
641,270.0,265.0
642,267.0,85.0
643,269.0,220.0
644,271.0,245.0
645,267.0,277.0
646,271.0,361.0
647,265.0,627.0
648,269.0,991.0
649,273.0,322.0
650,266.0,389.0
651,271.0,951.0
652,274.0,1278.0
653,270.0,878.0
654,272.0,1011.0
655,281.0,524.0
656,276.0,1180.0
657,272.0,1233.0
658,278.0,931.0
659,270.0,832.0
660,273.0,1044.0
661,274.0,103.0
662,280.0,120.0
663,278.0,148.0
664,274.0,171.0
665,276.0,705.0
666,276.0,424.0
667,274.0,766.0
668,275.0,553.0
669,280.0,620.0
670,271.0,1071.0
671,275.0,1084.0
672,278.0,401.0
673,279.0,666.0
674,277.0,1135.0
675,279.0,591.0
676,282.0,849.0
677,282.0,25.0
678,278.0,448.0
679,284.0,1063.0
680,284.0,1299.0
681,283.0,972.0
682,286.0,1157.0
683,283.0,1325.0
684,288.0,778.0
685,283.0,1111.0
686,282.0,66.0
687,283.0,497.0
688,288.0,307.0
689,287.0,595.0
690,285.0,1214.0
691,284.0,819.0
692,288.0,358.0
693,284.0,466.0
694,289.0,217.0
695,289.0,639.0
696,286.0,685.0
697,286.0,1238.0
698,285.0,1264.0
699,293.0,171.0
700,290.0,908.0
701,290.0,949.0
702,291.0,1192.0
703,293.0,1028.0
704,292.0,1132.0
705,293.0,345.0
706,293.0,549.0
707,287.0,801.0
708,295.0,136.0
709,296.0,268.0
710,300.0,478.0
711,294.0,49.0
712,291.0,239.0
713,295.0,291.0
714,295.0,367.0
715,291.0,385.0
716,299.0,446.0
717,294.0,726.0
718,293.0,838.0
719,307.0,194.0
720,299.0,613.0
721,294.0,755.0
722,303.0,933.0
723,296.0,29.0
724,297.0,324.0
725,298.0,706.0
726,299.0,983.0
727,296.0,1089.0
728,298.0,1296.0
729,301.0,417.0
730,298.0,575.0
731,300.0,1115.0
732,300.0,74.0
733,302.0,658.0
734,301.0,1007.0
735,305.0,1245.0
736,301.0,802.0
737,298.0,866.0
738,301.0,887.0
739,305.0,961.0
740,297.0,1048.0
741,305.0,1214.0
742,302.0,514.0
743,306.0,915.0
744,304.0,95.0
745,305.0,1283.0
746,307.0,688.0
747,307.0,553.0
748,305.0,826.0
749,313.0,388.0
750,306.0,1183.0
751,311.0,120.0
752,310.0,743.0
753,315.0,162.0
754,311.0,847.0
755,311.0,1065.0
756,311.0,1081.0
757,314.0,498.0
758,313.0,767.0
759,315.0,47.0
760,309.0,220.0
761,317.0,1097.0
762,313.0,1125.0
763,315.0,613.0
764,318.0,237.0
765,318.0,709.0
766,320.0,1039.0
767,310.0,1312.0
768,321.0,570.0
769,312.0,787.0
770,321.0,870.0
771,313.0,1152.0
772,315.0,1264.0
773,313.0,287.0
774,318.0,596.0
775,317.0,992.0
776,320.0,1205.0
777,323.0,259.0
778,315.0,348.0
779,319.0,1019.0
780,318.0,322.0
781,323.0,1174.0
782,318.0,449.0
783,320.0,634.0
784,320.0,899.0
785,320.0,522.0
786,322.0,807.0
787,327.0,64.0
788,319.0,680.0
789,322.0,827.0
790,327.0,1281.0
791,324.0,211.0
792,327.0,972.0
793,331.0,25.0
794,325.0,731.0
795,329.0,782.0
796,334.0,1247.0
797,328.0,1324.0
798,329.0,418.0
799,322.0,662.0
800,333.0,1113.0
801,330.0,100.0
802,330.0,285.0
803,336.0,392.0
804,328.0,920.0
805,336.0,1195.0
806,331.0,81.0
807,334.0,755.0
808,332.0,1073.0
809,331.0,540.0
810,333.0,175.0
811,335.0,335.0
812,334.0,848.0
813,334.0,950.0
814,328.0,1134.0
815,332.0,193.0
816,335.0,663.0
817,339.0,1150.0
818,332.0,1224.0
819,332.0,1309.0
820,335.0,133.0
821,335.0,302.0
822,342.0,618.0
823,336.0,817.0
824,336.0,997.0
825,339.0,365.0
826,333.0,450.0
827,343.0,592.0
828,339.0,688.0
829,338.0,111.0
830,343.0,522.0
831,343.0,240.0
832,338.0,893.0
833,342.0,207.0
834,343.0,642.0
835,337.0,712.0
836,342.0,802.0
837,344.0,833.0
838,341.0,934.0
839,343.0,433.0
840,339.0,560.0
841,349.0,317.0
842,346.0,974.0
843,342.0,1047.0
844,347.0,1270.0
845,340.0,42.0
846,343.0,160.0
847,347.0,460.0
848,345.0,868.0
849,343.0,1014.0
850,346.0,1133.0
851,349.0,731.0
852,347.0,783.0
853,348.0,1307.0
854,351.0,107.0
855,350.0,1063.0
856,347.0,291.0
857,351.0,914.0
858,355.0,183.0
859,348.0,1086.0
860,356.0,661.0
861,357.0,753.0
862,358.0,1291.0
863,351.0,55.0
864,354.0,140.0
865,357.0,349.0
866,354.0,548.0
867,351.0,70.0
868,356.0,276.0
869,354.0,706.0
870,354.0,1121.0
871,354.0,36.0
872,359.0,891.0
873,359.0,1000.0
874,357.0,574.0
875,357.0,819.0
876,358.0,90.0
877,358.0,775.0
878,369.0,805.0
879,360.0,1157.0
880,364.0,633.0
881,361.0,933.0
882,358.0,418.0
883,363.0,488.0
884,358.0,688.0
885,358.0,843.0
886,362.0,865.0
887,360.0,218.0
888,365.0,299.0
889,362.0,509.0
890,365.0,965.0
891,362.0,1108.0
892,359.0,1189.0
893,369.0,44.0
894,364.0,159.0
895,366.0,720.0
896,358.0,256.0
897,364.0,456.0
898,362.0,1047.0
899,367.0,1085.0
900,368.0,471.0
901,364.0,1135.0
902,366.0,236.0
903,363.0,1246.0
904,365.0,1065.0
905,368.0,1179.0
906,370.0,1216.0
907,368.0,556.0
908,370.0,1100.0
909,370.0,70.0
910,371.0,681.0
911,371.0,1270.0
912,368.0,1315.0
913,371.0,440.0
914,368.0,787.0
915,374.0,831.0
916,374.0,23.0
917,374.0,258.0
918,376.0,330.0
919,380.0,775.0
920,374.0,854.0
921,374.0,1002.0
922,372.0,603.0
923,378.0,105.0
924,376.0,354.0
925,375.0,900.0
926,372.0,1029.0
927,376.0,660.0
928,377.0,945.0
929,378.0,1065.0
930,382.0,161.0
931,381.0,1121.0
932,379.0,572.0
933,381.0,921.0
934,379.0,1145.0
935,380.0,1176.0
936,379.0,420.0
937,381.0,747.0
938,381.0,878.0
939,385.0,1291.0
940,376.0,383.0
941,384.0,724.0
942,383.0,1253.0
943,381.0,509.0
944,383.0,640.0
945,379.0,698.0
946,385.0,287.0
947,387.0,309.0
948,383.0,213.0
949,384.0,1048.0
950,393.0,1315.0
951,387.0,69.0
952,385.0,400.0
953,385.0,963.0
954,386.0,990.0
955,388.0,1015.0
956,386.0,447.0
957,384.0,543.0
958,390.0,1095.0
959,388.0,679.0
960,387.0,1232.0
961,390.0,484.0
962,390.0,804.0
963,393.0,851.0
964,391.0,177.0
965,387.0,240.0
966,391.0,616.0
967,393.0,263.0
968,394.0,381.0
969,395.0,937.0
970,388.0,360.0
971,392.0,584.0
972,392.0,1038.0
973,392.0,142.0
974,387.0,195.0
975,397.0,703.0
976,393.0,901.0
977,396.0,231.0
978,399.0,413.0
979,395.0,525.0
980,399.0,107.0
981,394.0,1160.0
982,396.0,1242.0
983,397.0,344.0
984,397.0,502.0
985,400.0,1055.0
986,397.0,1143.0
987,396.0,12.0
988,397.0,824.0
989,399.0,878.0
990,397.0,958.0
991,396.0,1192.0
992,398.0,562.0
993,400.0,654.0
994,403.0,675.0
995,400.0,977.0
996,409.0,1248.0
997,399.0,200.0
998,402.0,324.0
999,406.0,1126.0
1000,408.0,46.0
1001,401.0,375.0
1002,401.0,452.0
1003,399.0,472.0
1004,402.0,633.0
1005,403.0,741.0
1006,402.0,1177.0
1007,401.0,1279.0
1008,402.0,26.0
1009,409.0,132.0
1010,401.0,215.0
1011,408.0,252.0
1012,405.0,604.0
1013,406.0,906.0
1014,407.0,1027.0
1015,410.0,281.0
1016,407.0,1206.0
1017,409.0,358.0
1018,408.0,1081.0
1019,403.0,785.0
1020,408.0,1006.0
1021,408.0,1225.0
1022,411.0,186.0
1023,406.0,761.0
1024,412.0,810.0
1025,411.0,213.0
1026,411.0,869.0
1027,409.0,305.0
1028,413.0,516.0
1029,412.0,552.0
1030,412.0,842.0
1031,410.0,926.0
1032,414.0,709.0
1033,413.0,491.0
1034,408.0,725.0
1035,416.0,954.0
